Game Date,Away Team,Home Team,Away Record,Home Record,Away Score,Home Score,Winning Pitcher,Winning IP,Winning H,Winning ER,Winning K,Winning BB,Losing Pitcher,Losing IP,Losing H,Losing ER,Losing K,Losing BB
2025-04-24,Pittsburgh Pirates,Los Angeles Angels,10-16,12-12,3,4,R. Zeferjahn,1.0,1,0,2,0,C. Shugart,1.0,1,1,0,0
2025-04-24,Tampa Bay Rays,Arizona Diamondbacks,11-14,14-11,7,4,E. Uceta,1.0,1,0,0,0,J.P. Feyereisen,1.0,2,2,1,0
2025-04-24,Texas Rangers,Athletics,14-11,12-13,3,4,G. Holman,2.0,0,0,0,0,L. Jackson,1.0,2,1,1,1
2025-04-25,Philadelphia Phillies,Chicago Cubs,13-13,17-10,0,4,C. Rea,5.0,3,0,7,2,T. Walker,3.0,6,2,4,2
2025-04-25,New York Mets,Washington Nationals,18-8,12-14,4,5,J. Lopez,1.0,0,0,0,0,R. Stanek,0.1,2,2,0,0
2025-04-25,Toronto Blue Jays,New York Yankees,13-13,15-11,4,2,M. Fluharty,0.2,1,1,0,1,D. Williams,0.0,2,3,0,0
2025-04-25,Los Angeles Angels,Minnesota Twins,12-13,10-16,4,11,P. Lopez,5.0,5,2,6,2,K. Hendricks,3.0,3,7,3,5
2025-04-25,Houston Astros,Kansas City Royals,13-12,13-14,0,2,S. Lugo,8.0,3,0,8,1,H. Wesneski,5.0,8,2,1,0
2025-04-25,Milwaukee Brewers,St. Louis Cardinals,13-14,11-15,2,3,M. Liberatore,6.0,5,1,4,0,C. Patrick,4.1,4,2,2,2
2025-04-25,Cincinnati Reds,Colorado Rockies,13-13,4-21,8,7,G. Ashcraft,1.0,0,0,1,2,A. Chivilli,2.0,2,2,3,1
2025-04-25,Atlanta Braves,Arizona Diamondbacks,11-14,14-12,8,2,C. Sale,5.0,5,1,4,2,Z. Gallen,5.0,4,3,6,2
2025-04-25,Miami Marlins,Seattle Mariners,12-13,14-12,8,4,C. Quantrill,5.2,5,4,5,0,C. Lawrence,5.0,10,2,4,0
2025-04-25,Tampa Bay Rays,San Diego Padres,12-14,17-9,1,0,S. Baz,7.0,4,0,6,1,M. King,5.0,4,0,9,1
2025-04-25,Chicago White Sox,Athletics,6-20,13-13,5,6,J. Sterner,1.1,0,0,1,1,S. Burke,5.1,5,3,5,2
2025-04-25,Pittsburgh Pirates,Los Angeles Dodgers,11-16,16-10,3,0,P. Skenes,6.1,5,0,9,0,Y. Yamamoto,5.0,5,1,5,4
2025-04-25,Texas Rangers,San Francisco Giants,15-11,17-10,2,0,N. Eovaldi,6.0,3,0,7,1,J. Verlander,6.0,4,1,5,1
2025-04-26,Baltimore Orioles,Detroit Tigers,10-15,16-10,3,4,C. Mize,5.1,8,1,5,0,B. Young,4.2,4,3,6,5
2025-04-26,Boston Red Sox,Cleveland Guardians,14-14,15-10,4,5,T. Herrin,1.0,0,0,1,1,B. Bernardino,0.2,2,1,1,0
2025-04-26,Los Angeles Angels,Minnesota Twins,12-14,11-16,1,5,S. Woods Richardson,5.1,4,1,7,0,Y. Kikuchi,2.0,9,4,0,4
2025-04-26,Milwaukee Brewers,St. Louis Cardinals,13-15,12-15,5,6,R. Helsley,1.0,2,2,0,0,T. Megill,0.1,1,1,0,0
2025-04-26,Cincinnati Reds,Colorado Rockies,14-13,4-22,6,4,H. Greene,6.0,7,3,8,0,A. Senzatela,5.0,8,4,4,0
2025-04-26,Philadelphia Phillies,Chicago Cubs,14-13,17-11,10,4,J. Luzardo,6.0,3,0,5,3,B. Brown,3.2,9,6,5,1
2025-04-26,Texas Rangers,San Francisco Giants,15-12,18-10,2,3,R. Walker,1.0,2,0,2,0,J. Webb,0.2,1,1,0,2
2025-04-26,Chicago White Sox,Athletics,7-20,13-14,10,3,J. Cannon,7.2,6,3,5,2,J. Springs,6.0,7,5,4,2
2025-04-26,New York Mets,Washington Nationals,19-8,12-15,2,0,C. Holmes,5.0,4,0,2,0,B. Lord,4.0,5,2,3,0
2025-04-26,Boston Red Sox,Cleveland Guardians,15-14,15-11,7,3,W. Buehler,6.0,7,3,3,1,D. Nikhazy,3.0,5,6,3,6
2025-04-26,Baltimore Orioles,Detroit Tigers,10-16,17-10,2,6,B. Hurter,2.1,1,1,0,2,C. Morton,3.2,3,3,3,5
